,city,date_mutation,latitude,longitude,nombre_pieces_principales,surface_reelle_bati,surface_terrain,type_local,valeur_fonciere
0,1143,1435183200.0,46.344146,6.141916,2.0,43.0,0.0,2,268000.0
1,1344,1435701600.0,46.198415999999995,5.202997,2.0,47.0,0.0,2,81000.0
2,1313,1469397600.0,46.263566,6.071219999999999,3.0,78.0,0.0,2,600000.0
3,1071,1522965600.0,46.321101,6.071458,7.0,196.0,864.0,1,644350.0
4,1160,1529532000.0,46.254646,6.09816,2.0,70.0,0.0,2,250000.0
5,1053,1485817200.0,46.213734,5.238277,4.0,81.0,0.0,2,97200.0
6,1354,1474322400.0,46.238815,6.016198999999999,4.0,88.0,0.0,1,340000.0
7,1313,1511996400.0,46.256282,6.086679,5.0,130.0,0.0,2,430500.0
8,1354,1513206000.0,46.245421,6.01736,0.0,,0.0,3,495000.0
9,1375,1461708000.0,46.281901,5.124725,2.0,63.0,2600.0,2,82000.0
10,1053,1452812400.0,46.203798,5.220729,4.0,109.0,0.0,2,235714.0
11,1250,1518044400.0,45.974719,4.814604,4.0,90.0,421.0,1,248800.0
12,1143,1521759600.0,46.350268,6.135114,4.0,140.0,0.0,2,855000.0
13,1143,1543532400.0,46.361058,6.1444019999999995,2.0,51.0,0.0,2,286900.0
14,1262,1487890800.0,45.851437,5.056867,4.0,101.0,0.0,2,125500.0
15,1427,1445551200.0,45.93658,4.789483000000001,2.0,80.0,0.0,2,171800.0
16,1247,1516575600.0,46.361652,6.023766,6.0,97.0,1500.0,1,388460.0
17,1053,1528408800.0,46.208929,5.227233,0.0,,0.0,3,71000.0
18,1053,1459807200.0,46.197915,5.217393,1.0,22.0,403.0,2,270000.0
19,1283,1486335600.0,46.262598,5.639931,3.0,78.0,0.0,2,108000.0
20,1069,1468360800.0,46.148964,5.261057,4.0,90.0,804.0,1,185000.0
21,1004,1556748000.0,45.958397999999995,5.3529279999999995,4.0,88.0,0.0,2,196237.0
22,1249,1475791200.0,45.820685,4.947538,5.0,120.0,325.0,1,200000.0
23,1249,1390518000.0,45.824835,4.951663,3.0,84.0,183.0,1,212000.0
24,1269,1485730800.0,46.153263,5.608855,0.0,,20.0,3,3500.0
25,1446,1445637600.0,46.018802,4.839754,5.0,116.0,510.0,1,300000.0
26,1313,1524520800.0,46.264463,6.070825,4.0,123.0,0.0,2,494000.0
27,1202,1473285600.0,45.900797,5.347252,1.0,82.0,150.0,1,111000.0
28,1354,1401746400.0,46.242197999999995,6.019343,4.0,154.0,0.0,2,570000.0
29,1344,1422399600.0,46.18959,5.199026,4.0,148.0,800.0,1,379500.0
30,1033,1443132000.0,46.100586,5.81604,3.0,68.0,887.0,1,176000.0
31,1053,1505426400.0,46.200487,5.218643,6.0,190.0,0.0,2,236500.0
32,1053,1409263200.0,46.206152,5.226334,2.0,69.0,0.0,2,243700.0
33,1283,1553122800.0,46.261488,5.66597,4.0,89.0,114.0,1,127000.0
34,1407,1529272800.0,45.958344,5.831792,2.0,40.0,0.0,2,58000.0
35,1053,1457391600.0,46.204679999999996,5.224501999999999,0.0,,0.0,3,33750.0
36,1143,1438034400.0,46.351082,6.1416010000000005,3.0,85.0,0.0,2,520000.0
37,1071,1412719200.0,46.325103999999996,6.069443,4.0,82.0,217.0,1,213900.0
38,1276,1474668000.0,45.827063,5.064811,4.0,92.0,893.0,1,108000.0
39,1195,1477868400.0,46.212198,5.325068,3.0,72.0,0.0,2,77550.0
40,1033,1556056800.0,46.105524,5.824233,3.0,69.0,0.0,2,134000.0
41,1283,1451257200.0,46.252833,5.650931,0,334.0,364.0,4,150000.0
42,1399,1409522400.0,46.297693,6.077782,7.0,157.0,725.0,1,621580.0
43,1194,1516575600.0,45.986426,4.758269,3.0,100.0,0.0,2,162000.0
44,1053,1497996000.0,46.1928,5.232911,4.0,72.0,654.0,1,150000.0
45,1140,1474322400.0,46.273258,5.132034,5.0,171.0,1080.0,1,238500.0
46,1416,1461103200.0,45.92585,5.50561,5.0,97.0,878.0,1,132500.0
47,1062,1465423200.0,45.866243,5.094269000000001,3.0,86.0,0.0,2,212000.0
48,1082,1392937200.0,46.007148,5.783216,2.0,46.0,512.0,2,250000.0
49,1004,1401228000.0,45.956528999999996,5.3679190000000006,5.0,101.0,58.0,1,76000.0
50,1173,1467324000.0,46.341253,6.0758019999999995,2.0,72.0,1118.0,1,490000.0
51,1053,1390172400.0,46.201999,5.2460059999999995,4.0,80.0,0.0,2,83000.0
52,1238,1493330400.0,45.911079,4.830297,5.0,130.0,1016.0,1,381500.0
53,1283,1532556000.0,46.258499,5.654598,1.0,18.0,0.0,2,16582.5
54,1049,1433368800.0,45.847696,5.042389,5.0,130.0,733.0,1,285000.0
55,1173,1523484000.0,46.323584000000004,6.088618,7.0,140.0,798.0,1,710000.0
56,1343,1533679200.0,46.274533,4.973955,5.0,101.0,400.0,1,149000.0
57,1159,1482793200.0,46.339169,4.892037999999999,0.0,884.0,609.0,4,160000.0
58,1354,1532037600.0,46.242027,6.025923000000001,0.0,,0.0,3,17500.0
59,1004,1400191200.0,45.956607,5.346721,3.0,78.0,0.0,2,105500.0
60,1173,1528754400.0,46.332757,6.063003,2.0,42.0,0.0,2,170000.0
61,1427,1427666400.0,45.938705999999996,4.7877849999999995,3.0,100.0,33.0,1,154000.0
62,1071,1415142000.0,46.326287,6.0678410000000005,4.0,85.0,322.0,1,219200.0
63,1071,1491948000.0,46.320119,6.093195,5.0,100.0,404.0,1,480893.0
64,1305,1484175600.0,46.430492,4.938312000000001,3.0,100.0,132.0,1,80000.0
65,1333,1501797600.0,45.921084,4.9523839999999995,5.0,95.0,738.0,1,262300.0
66,1053,1464127200.0,46.208175,5.226189,2.0,59.0,0.0,2,77800.0
67,1029,1465855200.0,46.405089000000004,5.270107,3.0,107.0,739.0,1,118500.0
68,1427,1422226800.0,45.939702000000004,4.792964,4.0,90.0,856.0,1,230000.0
69,1143,1540767600.0,46.360434000000005,6.145747,0.0,12.0,0.0,4,64637.0
70,1354,1473976800.0,46.240274,6.02785,4.0,71.0,0.0,2,237000.0
71,1071,1490824800.0,46.319627000000004,6.093518,5.0,131.0,557.0,1,570000.0
72,1354,1443045600.0,46.239656,6.028271,0.0,,0.0,3,121000.0
73,1354,1411423200.0,46.250471000000005,6.025992,4.0,80.0,0.0,2,240487.0
74,1033,1469743200.0,46.096114,5.811718,4.0,118.0,843.0,1,327530.0
75,1005,1469743200.0,46.001384,4.901888,4.0,105.0,695.0,1,245000.0
76,1274,1509663600.0,46.139696,5.633968,4.0,79.0,1359.0,1,70000.0
77,1030,1423004400.0,45.999308,4.753982,3,74.0,0.0,2,52500.0
78,1451,1520809200.0,46.238915000000006,5.188894,4.0,103.0,1344.0,1,230000.0
79,1142,1398722400.0,45.851158,5.062671,4.0,84.0,646.0,1,215000.0
80,1053,1501106400.0,46.207149,5.218227,5.0,100.0,0.0,2,175000.0
81,1427,1526421600.0,45.936863,4.782051999999999,4.0,93.0,0.0,2,201000.0
82,1313,1403128800.0,46.264463,6.070825,4.0,125.0,0.0,2,490000.0
83,1249,1449442800.0,45.828219,4.962169,3.0,48.0,34.0,1,132450.0
84,1452,1437602400.0,45.849604,5.651073,0.0,,67.0,3,21000.0
85,1118,1472508000.0,45.970315,5.809403,3.0,51.0,0.0,2,110000.0
86,1053,1441922400.0,46.206171999999995,5.22428,2.0,56.0,85.0,2,124000.0
87,1283,1447628400.0,46.264765000000004,5.652805,0.0,1700.0,1727.0,4,295000.0
88,1354,1517871600.0,46.251871,6.030887,2.0,64.0,0.0,2,233730.0
89,1014,1496786400.0,46.288109999999996,5.68151,6.0,130.0,1118.0,1,271000.0
90,1427,1421276400.0,45.950408,4.761784,4.0,98.0,0.0,1,216200.0
91,1004,1424473200.0,45.966811,5.354294,2.0,46.0,0.0,2,142400.0
92,1313,1511996400.0,46.248591999999995,6.07686,4.0,85.0,0.0,2,508000.0
93,1269,1501538400.0,46.15354,5.605439,0.0,,59.0,3,177000.0
94,1194,1396389600.0,45.978807,4.7589,5.0,107.0,753.0,1,263000.0
95,1269,1504130400.0,46.155089000000004,5.605219,1.0,30.0,185.0,2,40000.0
96,1419,1440108000.0,46.238847,5.97185,5.0,121.0,701.0,1,520550.0
97,1004,1482879600.0,45.957716,5.348138,0.0,110.0,0.0,4,73000.0
98,1199,1487026800.0,46.039258000000004,5.4098120000000005,2.0,34.0,55.0,2,60000.0
99,1265,1450393200.0,46.170484,5.578114,0.0,,35.0,3,6000.0
100,1053,1459980000.0,46.19124,5.225127,0.0,4.0,0.0,2,132000.0
101,1363,1463954400.0,46.030403,5.389799,3.0,108.0,134.0,1,92500.0
102,1194,1494799200.0,45.989711,4.763304,4.0,87.0,332.0,1,210000.0
103,1374,1505080800.0,46.094668,5.311445,0.0,345.0,1267.0,4,190000.0
104,1015,1402351200.0,45.745315999999995,5.653278,3.0,151.0,1890.0,1,203500.0
105,1263,1535580000.0,46.096143,4.767003,4.0,105.0,1028.0,1,265000.0
106,1354,1558994400.0,46.251871,6.030887,3.0,72.0,0.0,2,322606.0
107,1354,1414537200.0,46.250471000000005,6.025992,4.0,82.0,0.0,2,247536.0
108,1344,1446159600.0,46.200491,5.192327,0.0,,0.0,4,399760.88
109,1043,1481842800.0,45.833783000000004,5.0075,2.0,50.0,145.0,2,191000.0
110,1033,1544742000.0,46.106317,5.82217,1.0,33.0,0.0,2,65000.0
111,1143,1416956400.0,46.357543,6.144831,0.0,26.0,0.0,2,82400.0
112,1451,1446678000.0,46.25607,5.219593,4.0,85.0,937.0,1,182500.0
113,1053,1498773600.0,46.1995,5.245184,0.0,861.0,0.0,4,329126.97
114,1153,1471298400.0,46.309284999999996,6.05127,7.0,220.0,1008.0,1,729060.0
115,1289,1500933600.0,46.188738,5.206336,4.0,81.0,0.0,2,136800.0
116,1283,1487890800.0,46.25925,5.655936,3.0,72.0,0.0,2,63000.0
117,1275,1479250800.0,45.815924,4.928486,5.0,130.0,0.0,1,385000.0
118,1285,1489618800.0,45.9222,4.828034,3.0,60.0,132.0,2,169000.0
119,1348,1412200800.0,46.178199,4.818849,4.0,198.0,400.0,1,120000.0
120,1143,1425596400.0,46.351085999999995,6.138392,2.0,71.0,0.0,2,350000.0
121,1072,1464300000.0,46.181143,5.320684,3.0,51.0,0.0,2,62000.0
122,1043,1448838000.0,45.829033,4.998454,4.0,95.0,525.0,1,345620.0
123,1443,1524780000.0,45.995715000000004,5.056221,6.0,108.0,957.0,1,229000.0
124,1173,1523570400.0,46.337548,6.064006,0.0,,72.0,3,412000.0
125,1033,1524780000.0,46.096185,5.814955,3.0,58.0,0.0,2,114000.0
126,1248,1482361200.0,45.89583,4.930738,3.0,67.0,0.0,2,194000.0
127,1305,1490310000.0,46.431692,4.937371,0.0,47.0,0.0,4,43000.0
128,1053,1435269600.0,46.213495,5.231763,4.0,89.0,0.0,2,112150.0
129,1143,1447974000.0,46.353595,6.131493,0.0,,0.0,3,31000.0
130,1029,1468274400.0,46.420412,5.264372,3.0,100.0,1850.0,1,152557.0
131,1030,1526335200.0,46.003442,4.751755999999999,5.0,116.0,1281.0,1,309355.0
132,1004,1510786800.0,45.956399,5.369579,4.0,75.0,56.0,1,157020.0
133,1281,1409868000.0,46.285927,6.087886,3.0,49.0,0.0,2,255901.0
134,1353,1501192800.0,45.972714,4.79942,7.0,168.0,916.0,1,365000.0
135,1283,1493848800.0,46.271076,5.6574599999999995,0.0,1285.0,1757.0,4,275000.0
136,1143,1533506400.0,46.36152,6.145751000000001,3.0,76.0,0.0,2,394200.0
137,1354,1443391200.0,46.241906,6.026349,2.0,47.0,0.0,2,234000.0
138,1323,1432677600.0,46.427771,4.930436,4.0,138.0,2474.0,1,215000.0
139,1383,1508104800.0,46.099102,5.129674,3.0,78.0,245.0,1,140000.0
140,1313,1482793200.0,46.248591999999995,6.07686,3.0,60.0,0.0,2,376000.0
141,1283,1550185200.0,46.252306,5.658183,0.0,98.0,121.0,4,13000.0
142,1276,1465941600.0,45.823928,5.058237,4.0,82.0,838.0,1,223000.0
143,1396,1397167200.0,45.854637,5.408817,4.0,59.0,39.0,1,50000.0
144,1077,1536789600.0,46.126152000000005,5.464843,5.0,137.0,840.0,1,183870.0
145,1333,1391468400.0,45.928508,4.953508,4.0,84.0,0.0,2,211705.68
146,1053,1514934000.0,46.204936,5.225949,3.0,70.0,0.0,2,98000.0
147,1194,1466373600.0,45.987274,4.7578949999999995,3.0,66.0,0.0,2,158000.0
148,1166,1503439200.0,45.995515999999995,4.775515,4.0,136.0,362.0,1,350000.0
149,1384,1410127200.0,45.956533,5.428693,3.0,70.0,68.0,1,93000.0
150,1243,1540940400.0,46.046690000000005,4.748289,4.0,108.0,1110.0,1,263350.0
151,1173,1505944800.0,46.338726,6.057003,4.0,99.0,0.0,2,464000.0
152,1262,1531173600.0,45.848283,5.057024,4.0,88.0,479.0,1,230000.0
153,1263,1446418800.0,46.090042,4.759821,3.0,64.0,737.0,1,166100.0
154,1138,1400796000.0,45.837781,5.7836,3.0,82.0,836.0,1,80000.0
155,1199,1545865200.0,46.041756,5.41111,6.0,135.0,916.0,1,239213.0
156,1033,1542754800.0,46.107906,5.835202,6.0,152.0,806.0,1,368000.0
157,1053,1504476000.0,46.214825,5.226241,2.0,51.0,0.0,2,55000.0
158,1108,1484262000.0,46.38774,5.346825,4.0,105.0,258.0,1,105900.0
159,1053,1445378400.0,46.200747,5.209325,3.0,54.0,0.0,2,83100.0
160,1443,1398290400.0,46.001397,5.033133,4.0,87.0,0.0,2,153500.0
161,1416,1486076400.0,45.929381,5.516743,5.0,118.0,944.0,1,114000.0
162,1033,1515452400.0,46.119566999999996,5.816088,4.0,99.0,702.0,1,300000.0
163,1004,1429048800.0,45.947794,5.371662000000001,2.0,60.0,63.0,1,145000.0
164,1263,1392073200.0,46.080705,4.760044000000001,4.0,90.0,130.0,1,179980.0
165,1354,1436220000.0,46.243103999999995,6.01817,6.0,118.0,911.0,1,634650.0
166,1160,1498687200.0,46.258897,6.107646,5.0,211.0,0.0,2,1017300.0
167,1443,1499896800.0,46.001439000000005,5.033427,5.0,92.0,0.0,2,155000.0
168,1376,1475013600.0,45.830579,4.98479,5.0,85.0,0.0,2,120000.0
169,1313,1474581600.0,46.248591999999995,6.07686,2.0,42.0,0.0,2,253000.0
170,1194,1503352800.0,45.99022,4.764751,6.0,92.0,470.0,1,270000.0
171,1053,1450134000.0,46.195702000000004,5.210758,3.0,66.0,0.0,2,167366.0
172,1402,1435615200.0,46.496837,4.985855,3.0,92.0,590.0,1,210000.0
173,1202,1514329200.0,45.903264,5.346019999999999,3.0,79.0,0.0,2,125000.0
174,1435,1494280800.0,46.306532000000004,6.101621,5.0,99.0,279.0,1,405400.0
175,1269,1489964400.0,46.157664000000004,5.604116,4.0,82.0,0.0,2,125000.0
176,1379,1536789600.0,45.958096999999995,5.278291,2.0,130.0,139.0,1,206240.0
177,1283,1398376800.0,46.258494,5.657763,3.0,71.0,0.0,2,75000.0
178,1160,1528668000.0,46.259634000000005,6.114466999999999,4.0,83.0,0.0,2,422000.0
179,1274,1528149600.0,46.141192,5.6328,0.0,,205.0,3,55000.0
180,1354,1514502000.0,46.251871,6.030887,0.0,,0.0,3,17000.0
181,1304,1531864800.0,46.050601,5.3431809999999995,4.0,120.0,187.0,1,104500.0
182,1249,1530828000.0,45.822425,4.95023,4.0,64.0,98.0,1,176400.0
183,1194,1469397600.0,45.983973999999996,4.765618,5,101.0,850.0,1,264180.0
184,1173,1551394800.0,46.337053999999995,6.0605839999999995,4.0,139.0,917.0,1,727700.0
185,1283,1499810400.0,46.255967999999996,5.657518,0.0,,88.0,3,124000.0
186,1143,1553554800.0,46.360005,6.142137,4.0,87.0,0.0,2,415000.0
187,1143,1547593200.0,46.360005,6.142137,3.0,65.0,0.0,2,290000.0
188,1173,1403128800.0,46.336396,6.0631129999999995,2.0,41.0,0.0,2,190000.0
189,1071,1412892000.0,46.324471,6.065585,5.0,91.0,627.0,1,537540.0
190,1283,1418684400.0,46.26583,5.647712,5.0,104.0,625.0,1,176000.0
191,1007,1527631200.0,46.002649,5.365318,5.0,106.0,735.0,1,208900.0
192,1194,1394146800.0,45.976133000000004,4.757809,5.0,105.0,702.0,1,242000.0
193,1004,1513638000.0,45.955981,5.33177,6.0,105.0,1000.0,1,313000.0
194,1143,1542841200.0,46.345372999999995,6.132918,3.0,96.0,0.0,2,512500.0
195,1004,1462226400.0,45.96582,5.357921,4.0,133.0,342.0,1,274200.0
196,1071,1428616800.0,46.314708,6.077177,6.0,108.0,887.0,1,520000.0
197,1143,1423868400.0,46.36005,6.138972,2.0,52.0,0.0,2,100000.0
198,1376,1498773600.0,45.830826,4.98527,3.0,53.0,0.0,2,75000.0
199,1313,1510786800.0,46.266349,6.096469,1.0,20.0,500.0,2,830000.0
200,1053,1514329200.0,46.205462,5.226103,2.0,71.0,0.0,2,66000.0
201,1399,1399845600.0,46.296904999999995,6.072342,4.0,100.0,38.0,1,260000.0
202,1160,1468879200.0,46.259225,6.1203330000000005,5.0,94.0,0.0,2,317000.0
203,1354,1541977200.0,46.262095,6.029616000000001,0.0,22.0,0.0,4,82100.0
204,1033,1404856800.0,46.105809,5.8353720000000004,6.0,120.0,0.0,2,128000.0
205,1354,1467669600.0,46.247651,6.018618,4.0,133.0,0.0,2,451000.0
206,1363,1391036400.0,46.030922,5.389581,3.0,98.0,1012.0,1,205000.0
207,1061,1394492400.0,45.717826,5.696878,6.0,166.0,940.0,1,352650.0
208,1313,1499378400.0,46.27879,6.068194999999999,7.0,200.0,511.0,1,762710.0
209,1419,1517958000.0,46.242127,5.978574,1.0,25.0,500.0,1,910020.0
210,1202,1499205600.0,45.901996000000004,5.347302,0.0,,28.0,3,12000.0
211,1033,1465250400.0,46.107157,5.813422,5.0,93.0,0.0,2,215000.0
212,1053,1504562400.0,46.209288,5.221405,0.0,,0.0,3,6300.0
213,1407,1427925600.0,45.960744,5.8299389999999995,6.0,107.0,217.0,1,62500.0
214,1143,1500242400.0,46.362606,6.144804,0.0,,0.0,3,1100.0
215,1173,1423004400.0,46.336673,6.06278,3.0,69.0,0.0,2,200000.0
216,1248,1540418400.0,45.896964000000004,4.929404,5.0,107.0,669.0,1,283500.0
217,1348,1524175200.0,46.176678,4.809792,5.0,187.0,582.0,1,85000.0
218,1034,1472076000.0,45.757306,5.686783,0.0,90.0,0.0,2,53000.0
219,1173,1400191200.0,46.336407,6.070863,4.0,101.0,0.0,2,353177.26
220,1053,1530828000.0,46.203032,5.217723,0.0,56.0,0.0,4,63000.0
221,1427,1532642400.0,45.93392,4.786506,5.0,147.0,143.0,1,374260.0
222,1283,1391122800.0,46.262197,5.658775,3.0,69.0,0.0,2,144799.0
223,1071,1441749600.0,46.321265000000004,6.078841000000001,4.0,82.0,0.0,2,335000.0
224,1089,1473112800.0,45.977554999999995,5.323073,0.0,123.0,0.0,4,230947.2
225,1053,1496095200.0,46.200288,5.218087000000001,3.0,64.0,0.0,2,112200.0
226,1160,1550703600.0,46.262725,6.112744999999999,5.0,192.0,0.0,2,770000.0
227,1262,1527199200.0,45.849031,5.059755,3.0,60.0,0.0,2,76000.0
228,1143,1511218800.0,46.367668,6.137633,6.0,200.0,792.0,1,1606160.0
229,1143,1513897200.0,46.345599,6.123328,4.0,94.0,0.0,2,430000.0
230,1348,1452207600.0,46.174568,4.826528,4.0,83.0,395.0,1,147300.0
231,1301,1494540000.0,46.248324,5.1304110000000005,3.0,71.0,0.0,2,164621.0
232,1014,1503957600.0,46.276225,5.673502,4.0,73.0,0.0,2,78000.0
233,1194,1468879200.0,45.986816999999995,4.756206,2.0,56.0,0.0,2,137609.0
234,1348,1505426400.0,46.181103,4.822081,4.0,94.0,727.0,1,221000.0
235,1289,1464904800.0,46.184214000000004,5.200451,4.0,124.0,800.0,1,218000.0
236,1053,1527458400.0,46.200303000000005,5.219338,0.0,,0.0,3,230000.0
237,1173,1528668000.0,46.330354,6.061849,1.0,28.0,0.0,2,85000.0
238,1024,1500588000.0,46.274901,5.158853,5.0,90.0,685.0,1,48000.0
239,1173,1418252400.0,46.331295000000004,6.06329,2.0,38.0,0.0,2,142825.0
240,1034,1513551600.0,45.751937,5.685402,5,127.0,0.0,2,133000.0
241,1033,1556056800.0,46.100789,5.814807,5.0,110.0,629.0,1,315000.0
242,1249,1425510000.0,45.826941999999995,4.952511,3.0,115.0,0.0,2,275300.0
243,1427,1493848800.0,45.939082,4.784858,4.0,87.0,0.0,2,299000.0
244,1004,1473804000.0,45.956297,5.3460980000000005,2.0,50.0,0.0,2,103000.0
245,1016,1402956000.0,46.474839,4.972256,5.0,155.0,990.0,1,222400.0
246,1033,1518649200.0,46.106861,5.816895,2.0,45.0,0.0,2,80500.0
247,1179,1436479200.0,46.259128000000004,4.851312,5.0,111.0,830.0,1,212000.0
248,1166,1444341600.0,45.992968,4.777297,5.0,100.0,258.0,1,213000.0
249,1379,1446159600.0,45.958462,5.276203,3.0,72.0,110.0,1,126800.0
250,1071,1525644000.0,46.327793,6.061203,2.0,42.0,0.0,2,161500.0
251,1322,1501711200.0,45.934478999999996,4.820266,3.0,67.0,258.0,1,208000.0
252,1249,1492034400.0,45.826508000000004,4.958975,0.0,,0.0,3,1.0
253,1344,1445814000.0,46.206942,5.2053139999999996,0.0,367.0,2694.0,4,270000.0
254,1143,1558562400.0,46.361408000000004,6.143993,4.0,138.0,0.0,2,825100.0
255,1407,1554847200.0,45.958991999999995,5.831914,2.0,38.0,28.0,2,137000.0
256,1173,1444168800.0,46.338726,6.057003,3.0,61.0,0.0,2,4369689.94
257,1160,1553727600.0,46.252001,6.096899,5.0,152.0,860.0,1,909000.0
258,1053,1440712800.0,46.191663,5.247623,5.0,108.0,1036.0,1,190000.0
259,1053,1389049200.0,46.19923,5.230625,3.0,65.0,0.0,2,108500.0
260,1289,1445900400.0,46.190931,5.222289,4.0,109.0,946.0,1,230000.0
261,1262,1522274400.0,45.848582,5.050235,4.0,80.0,0.0,2,198150.0
262,1407,1439416800.0,45.958533,5.831969,3.0,100.0,0.0,2,180500.0
263,1007,1455663600.0,46.003365,5.37549,5.0,124.0,703.0,1,219090.0
264,1313,1480028400.0,46.2494,6.071953,4.0,93.0,0.0,2,435000.0
265,1053,1425596400.0,46.198840000000004,5.209562,1.0,20.0,0.0,2,37500.0
266,1384,1403820000.0,45.950113,5.452489,4.0,98.0,501.0,1,30000.0
267,1265,1513206000.0,46.170346,5.574693,0.0,,0.0,3,5000.0
268,1053,1456354800.0,46.203140999999995,5.229152,4.0,120.0,0.0,2,212050.0
269,1379,1542927600.0,45.958463,5.269549,4.0,113.0,1252.0,1,233000.0
270,1053,1427065200.0,46.20624,5.2297519999999995,4.0,103.0,0.0,2,104000.0
271,1194,1425596400.0,45.984731,4.758667,2.0,50.0,0.0,2,133000.0
272,1230,1452207600.0,46.422131,5.101021,3.0,111.0,700.0,1,179500.0
273,1160,1536703200.0,46.252336,6.11701,0.0,430.0,706.0,4,4000000.0
274,1301,1490565600.0,46.245364,5.108339,4.0,90.0,700.0,1,221500.0
275,1333,1423782000.0,45.929025,4.95391,0.0,,0.0,3,173100.0
276,1419,1402351200.0,46.248715000000004,5.982080000000001,5.0,116.0,817.0,1,570000.0
