,date_mutation,city,valeur_fonciere,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain
0,2019,Abbaretz,245000.0,Maison,143.0,5.0,474.0
9,2019,Abbaretz,40000.0,Dépendance,nan,0.0,141.0
13,2018,Abbaretz,41000.0,Maison,113.0,4.0,258.0
14,2018,Abbaretz,137000.0,Maison,122.0,6.0,615.0
15,2018,Abbaretz,137000.0,Dépendance,nan,0.0,615.0
16,2018,Abbaretz,230000.0,Maison,119.0,5.0,740.0
17,2018,Abbaretz,230000.0,Local industriel. commercial ou assimilé,224.0,0.0,740.0
20,2018,Abbaretz,51000.0,Maison,92.0,5.0,59.0
29,2017,Abbaretz,102000.0,Maison,100.0,2.0,205.0
30,2017,Abbaretz,102000.0,Maison,120.0,3.0,247.0
31,2017,Abbaretz,102000.0,Local industriel. commercial ou assimilé,90.0,0.0,247.0
33,2017,Abbaretz,90000.0,Maison,90.0,4.0,844.0
34,2017,Abbaretz,90000.0,Maison,90.0,4.0,1400.0
36,2017,Abbaretz,89000.0,Maison,60.0,3.0,185.0
42,2017,Abbaretz,68000.0,Maison,80.0,3.0,97.0
48,2016,Abbaretz,170000.0,Maison,100.0,4.0,700.0
49,2016,Abbaretz,170000.0,Maison,100.0,4.0,909.0
50,2016,Abbaretz,47000.0,Local industriel. commercial ou assimilé,nan,0.0,108.0
51,2016,Abbaretz,85000.0,Appartement,80.0,4.0,804.0
52,2016,Abbaretz,85000.0,Local industriel. commercial ou assimilé,426.0,0.0,804.0
53,2016,Abbaretz,85000.0,Local industriel. commercial ou assimilé,403.0,0.0,804.0
54,2016,Abbaretz,132800.0,Maison,61.0,2.0,144.0
56,2016,Abbaretz,108500.0,Maison,90.0,4.0,155.0
58,2016,Abbaretz,95000.0,Maison,69.0,3.0,78.0
60,2015,Abbaretz,120000.0,Maison,103.0,3.0,157.0
62,2015,Abbaretz,145000.0,Local industriel. commercial ou assimilé,1450.0,0.0,1328.0
65,2015,Abbaretz,86000.0,Maison,67.0,3.0,150.0
67,2015,Abbaretz,135000.0,Maison,84.0,6.0,710.0
70,2014,Abbaretz,95000.0,Maison,58.0,4.0,427.0
73,2014,Abbaretz,85000.0,Maison,50.0,3.0,400.0
74,2014,Abbaretz,110000.0,Maison,100.0,3.0,185.0
75,2014,Abbaretz,110000.0,Maison,134.0,3.0,185.0
76,2014,Abbaretz,95000.0,Local industriel. commercial ou assimilé,540.0,0.0,300.0
77,2014,Abbaretz,95000.0,Local industriel. commercial ou assimilé,540.0,0.0,880.0
80,2014,Abbaretz,130500.0,Maison,100.0,4.0,1055.0
82,2014,Abbaretz,176000.0,Maison,170.0,6.0,605.0
