,date_mutation,city,valeur_fonciere,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain
0,2019,Abbaretz,120000.0,Maison,78.0,3.0,1170.0
1,2019,Abbaretz,120000.0,Maison,78.0,3.0,1779.0
2,2019,Abbaretz,160000.0,Maison,91.0,5.0,554.0
7,2018,Abbaretz,135000.0,Maison,78.0,4.0,705.0
9,2018,Abbaretz,147000.0,Maison,37.0,2.0,701.0
10,2018,Abbaretz,147000.0,Maison,38.0,2.0,701.0
11,2018,Abbaretz,36500.0,Dépendance,nan,0.0,26.0
13,2018,Abbaretz,182000.0,Maison,160.0,6.0,669.0
14,2018,Abbaretz,202000.0,Maison,121.0,4.0,951.0
15,2018,Abbaretz,170000.0,Maison,95.0,5.0,602.0
16,2018,Abbaretz,75000.0,Maison,166.0,4.0,605.0
18,2017,Abbaretz,162000.0,Maison,83.0,4.0,365.0
20,2017,Abbaretz,165000.0,Maison,88.0,5.0,1500.0
21,2017,Abbaretz,165000.0,Maison,88.0,5.0,1000.0
22,2017,Abbaretz,80000.0,Maison,56.0,3.0,717.0
23,2017,Abbaretz,110000.0,Maison,99.0,6.0,882.0
25,2017,Abbaretz,15000.0,Local industriel. commercial ou assimilé,nan,0.0,463.0
26,2016,Abbaretz,150000.0,Maison,75.0,4.0,810.0
28,2016,Abbaretz,237500.0,Maison,135.0,5.0,730.0
29,2015,Abbaretz,80000.0,Maison,60.0,3.0,624.0
34,2014,Abbaretz,100000.0,Maison,73.0,3.0,630.0
36,2014,Abbaretz,155000.0,Maison,84.0,4.0,621.0
